,HomePlanet_Europa,HomePlanet_Mars,CryoSleep_True,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,VIP_True,Side_S,Side_nan,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_nan,GroupSize,RoomService,FoodCourt,ShoppingMall,VRDeck,Age
0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.3573390772885221,-0.28383978749442385,-0.3121728466002849,-0.2467119448210551,-0.11414662291607111
1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.3573390772885221,-0.27787944135737164,-0.3121728466002849,-0.2467119448210551,-0.6843131703169893
2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3573390772885221,-0.28383978749442385,-0.3121728466002849,-0.2467119448210551,0.170936650784388
3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3573390772885221,4.121518268469037,-0.3121728466002849,0.2266475030373834,0.6698323797601914
4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.34072347955805893,-0.28383978749442385,0.8321220324787504,-0.2467119448210551,-0.6130423518918746
5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.3573390772885221,0.7857112137654965,0.1617634576481975,-0.19816225786121525,0.170936650784388
6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3573390772885221,-0.28383978749442385,-0.3121728466002849,-0.2467119448210551,-0.5417715334667598
7,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.3573390772885221,-0.28383978749442385,-0.3121728466002849,-0.2467119448210551,-0.6130423518918746
8,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.3573390772885221,-0.28383978749442385,-0.3121728466002849,-0.2467119448210551,-0.3992298966165302
9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.3573390772885221,0.13934478823628146,-0.3121728466002849,-0.2467119448210551,-0.3279590781914154
10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.20592968577417917,-0.28185300544873976,-0.06709551816760956,-0.2467119448210551,-0.6843131703169893
11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1912346311906448,-0.23483249703421696,-0.3121728466002849,0.5705411190029157,1.1687281087359949
12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.3573390772885221,0.7499491369431833,-0.3121728466002849,-0.06545978017098632,1.09745729031088
13,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.3573390772885221,-0.28383978749442385,-0.3121728466002849,-0.2467119448210551,1.2399989271611096
14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.3573390772885221,-0.28383978749442385,-0.3121728466002849,-0.172269091482634,-0.5417715334667598
15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,-0.3573390772885221,-0.28383978749442385,-0.3121728466002849,-0.2467119448210551,-0.11414662291607111
16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,-0.3540159577424295,-0.2758926593116876,0.14374306585167726,0.31160945521710315,-0.6130423518918746
17,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.3573390772885221,-0.28383978749442385,-0.3121728466002849,-0.2467119448210551,1.09745729031088
18,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.3573390772885221,4.820865548549827,0.12572267405515702,0.03083043229936271,0.02839501393415844
19,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.3141385231893179,0.9910120251528496,-0.2977565331630687,-0.19573477351322324,0.8123740166104209
20,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.3573390772885221,0.2976250912091118,-0.2653198279293323,-0.2467119448210551,0.09966583235927319
21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.3573390772885221,-0.28383978749442385,-0.3121728466002849,-0.2467119448210551,-1.0406672624425632
22,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.3573390772885221,-0.28383978749442385,-0.3121728466002849,-0.2467119448210551,0.170936650784388
23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.3573390772885221,4.33675299008481,-0.3121728466002849,0.7526024451023151,-0.11414662291607111
24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.2925382461397158,3.9890661320900995,-0.3121728466002849,-0.12129192017480214,2.6654152956634047
25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.6068835578261065,-0.2785417020392663,-0.27973614136654845,-0.2467119448210551,-0.3279590781914154
26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12949793621404862,2.0307612957275087,9.189979747704838,0.09475418679648517,-0.6843131703169893
27,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.3573390772885221,-0.28383978749442385,-0.3121728466002849,-0.2467119448210551,0.5272907429099618
28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.3573390772885221,0.12609957459838772,-0.2905483764444606,-0.2467119448210551,-0.5417715334667598
29,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.3573390772885221,-0.28383978749442385,-0.3121728466002849,-0.2467119448210551,-0.7555839887421041
30,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.3573390772885221,-0.28383978749442385,-0.3121728466002849,-0.2467119448210551,-0.18541744134118587
31,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6362736669931751,-0.28383978749442385,-0.25811167121072415,-0.2467119448210551,-0.6843131703169893
32,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.3573390772885221,-0.28383978749442385,-0.3121728466002849,-0.2467119448210551,1.382540564011339
33,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.33407724046587367,0.29232700575395426,-0.3121728466002849,-0.2281012314864498,-0.3992298966165302
34,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4451942930928487,-0.28383978749442385,-0.15539543797055874,-0.2467119448210551,-0.3279590781914154
35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.3573390772885221,-0.2705945738565301,-0.06889755734726158,0.05025030708329865,-0.6843131703169893
36,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.3573390772885221,-0.28383978749442385,-0.3121728466002849,-0.2467119448210551,-0.3279590781914154
37,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2476761322674652,0.8658447562747537,-0.3121728466002849,-0.23457452308109514,-0.11414662291607111
38,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.3573390772885221,-0.28383978749442385,-0.3121728466002849,-0.2467119448210551,-1.6108338098434813
39,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.3573390772885221,-0.28383978749442385,-0.3121728466002849,-0.2467119448210551,0.31347828763461755
40,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.3573390772885221,-0.28383978749442385,1.9133455402699646,-0.2467119448210551,-0.3992298966165302
41,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.35567751751547577,-0.28383978749442385,2.544059253148173,0.14492219665498635,0.09966583235927319
42,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.3573390772885221,-0.27258135590221416,1.484460215512783,-0.2467119448210551,-0.18541744134118587
43,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.3573390772885221,-0.28383978749442385,-0.3121728466002849,-0.2467119448210551,-1.967187901969055
44,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.35567751751547577,-0.28383978749442385,-0.3121728466002849,-0.2467119448210551,-0.6130423518918746
45,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.3573390772885221,-0.28383978749442385,-0.3121728466002849,-0.2467119448210551,-0.8268548071672188
46,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.3573390772885221,-0.28383978749442385,-0.24189331859385588,0.20318182100679416,0.3847491060597323
